,source_sentence,human,time,location,label,augmentation
2232,In August 1930 he was 3rd in the handicapped race Giro Aereo d'Italia in Italy.,he,August 1930,Italy,competition,"Plummer's wife, Zora B. Rucker completed her studies at the Armour Institute in Chicago in about 1905 and worked as a lecturer in home economics, often traveling throughout the country."
2233,"In September 1942, Rostow arrived in London to serve as an intelligence analyst with the Enemy Objectives Unit, serving until the spring of 1945.",Rostow,the spring of 1945,London,end position,In August 1930 he achieved 3rd place in the handicapped race Giro Aereo d'Italia in Italy.
2234,"He next attended Syracuse University's Maxwell School of Citizenship and Public Affairs, earning an M.A. in Economics in 1966 and then a Ph.D. in Economics in 1970.",He,1966,Syracuse University's,education,"In September 1942, Rostow arrived in London to serve as an intelligence analyst with the Enemy Objectives Unit, serving until the spring of 1945."
2235,"In 1857 he moved to Frysztat, where he worked as notary.",he,1857,Frysztat,start position,"He then pursued further education at Syracuse University's Maxwell School of Citizenship and Public Affairs, earning an M.A. in Economics in 1966 and then a Ph.D. in Economics in 1970."
2236,"He was educated at Clinton Preparatory School, and received a B.A. from Yale University in 1867, where he was a member of Skull and Bones.",he,1867,Yale University,education,"In 1857 he relocated to Frysztat, where he worked as notary."
2237,"Richard Rainwater was born in Fort Worth, Texas, in 1944.",Richard Rainwater,1944,Texas,birth,"He was educated at Clinton Preparatory School, and obtained a B.A. from Yale University in 1867, where he was a member of Skull and Bones."
2238,Teamed with Franz Schachner together they won the bronze medal in the men's doubles event at the 1976 Winter Olympics of Innsbruck.,they,1976,Innsbruck,competition,"Richard Rainwater came into the world in Fort Worth, Texas, in 1944."
2239,"He returned for an October 15 show at the SPW Arena to face Andy ""Spicolli"" Mackenzie.",He,October 15,SPW Arena,competition,Teamed with Franz Schachner they jointly secured the bronze medal in the men's doubles event at the 1976 Winter Olympics of Innsbruck.
2240,"She was a member of legislative assemblies of Saurashtra, Bombay and Gujarat states  from 1952 to 1962.",She,1952 to 1962,Saurashtra,position held,"From 1952 to 1962, she served as a member of legislative assemblies of Saurashtra, Bombay and Gujarat states."
2241,"Jurji Zaydan was born on December 14, 1861 in Beirut to an Eastern Orthodox Christian family of limited means.",Jurji Zaydan,"December 14, 1861",Beirut,birth,"Jurji Zaydan was born on December 14, 1861 in Beirut to an Eastern Orthodox Christian family of limited means."
2242,"In the summer of 2001, Collins worked as a Legislative Fellow for Senator Hillary Clinton in Washington, D.C.",Collins,the summer of 2001,Washington,start position,"In the summer of 2001, Collins worked as a Legislative Fellow for Senator Hillary Clinton in Washington, D.C."
2243,"He represented the constituency until his death in 1719.Cave died on 21 April 1719 aged 38, leaving heavy debts and was buried at Stanford, Northamptonshire.",He,21 April 1719,Stanford,die,"He represented the constituency until his death in 1719. Cave died on 21 April 1719 aged 38, leaving heavy debts and was buried at Stanford, Northamptonshire."
2244,"In early January 1945, G?ring summoned Gollob to Karinhall, G?ring's estate northeast of Berlin, and read out selected excerpts from Galland's report to him and Gollob became infuriated with Galland.",Gollob,January 1945,Karinhall,go to,"In early January 1945, G?ring summoned Gollob to Karinhall, G?ring's estate northeast of Berlin, and read out selected excerpts from Galland's report to him and Gollob became infuriated with Galland."
2245,Nagai was born in Kagoshima Prefecture on 26 January 1971.,Nagai,26 January 1971,Kagoshima Prefecture,birth,Nagai was born in Kagoshima Prefecture on 26 January 1971.
2246,"On 28 October 1676, he was consecrated bishop by Pietro Francesco Orsini de Gravina, Archbishop of Manfredonia, with Angelo della Noca, Archbishop Emeritus of Rossano, and Prospero Bottini, Titular Archbishop of Myra, serving as co-consecrators.",Prospero Bottini,28 October 1676,Manfredonia,ceremony,"On 28 October 1676, he was consecrated bishop by Pietro Francesco Orsini de Gravina, Archbishop of Manfredonia, with Angelo della Noca, Archbishop Emeritus of Rossano, and Prospero Bottini, Titular Archbishop of Myra, serving as co-consecrators."
2247,"Pedro de Heredia prepared a second expedition to the South Sea and in 1534 he reached the Sinú river, where he ransacked the indigenous peoples' tombs for gold.",Pedro de Heredia,1534,South Sea,attack,"Pedro de Heredia prepared a second expedition to the South Sea and in 1534 he reached the Sinú river, where he ransacked the indigenous peoples' tombs for gold."
2248,"In 1926 he moved to Oslo, where he started playing for the club Lyn.",he,1926,Oslo,start position,"In 1926 he moved to Oslo, where he started playing for the club Lyn."
2249,"Eugene Leake was born in Jersey City, New Jersey on August 31, 1911, one of two sons born to Eugene W. Leake and Marion (Paige) Leake.",Marion (Paige) Leake,"August 31, 1911",Jersey City,give birth,"Eugene Leake was born in Jersey City, New Jersey on August 31, 1911, one of two sons born to Eugene W. Leake and Marion (Paige) Leake."
2250,"At the age of 12, Burden had emergency surgery, performed without anesthesia, on his left foot after he was severely injured in a motor-scooter crash on the island of Elba.",Burden,the age of 12,Elba,accident,"At 12 years old, Burden underwent emergency surgery, performed without anesthesia, on his left foot after he was severely injured in a motor-scooter crash on the island of Elba."
2251,Maria Sagheddu was born to shepherds in Dorgali on 17 March 1914 as the fifth of eight children to Marcantonio Sagheddu and Caterina Cucca.,Maria Sagheddu,17 March 1914,Dorgali,birth,Maria Sagheddu was born to shepherds in Dorgali on 17 March 1914 as the fifth of eight children to Marcantonio Sagheddu and Caterina Cucca.
2252,He was a probate judge of Monroe County from 1884 to 1890.,He,1884 to 1890,Monroe County,position held,He served as a probate judge of Monroe County from 1884 to 1890.
2253,"Calleja retook Guanajuato on November 25 and Guadalajara on January 21, 1811.Calleja",Calleja,November 25,Guanajuato,military action,"Calleja retook Guanajuato on November 25 and Guadalajara on January 21, 1811.Calleja"
2254,"After returning from the United Kingdom, Nazir joined the corporate advisory department of Commerce International Merchant Bankers Berhad in 1989.",Nazir,1989,United Kingdom,start position,"After returning from the United Kingdom, Nazir joined the corporate advisory department of Commerce International Merchant Bankers Berhad in 1989."
2255,"In 1874, he established his own workshop in La Chaussée-Saint-Victor, where he worked until his death.",he,1874,La Chaussée-Saint-Victor,start org,"In 1874, he established his own workshop in La Chaussée-Saint-Victor, where he worked until his death."
2256,"Between 2013 and 2014, the drunken Kulesh killed three saleswomen in two stores in the Lida District, Grodno Region, after which he stole money and goods.",he,Between 2013 and 2014,Lida District,attack,"Between 2013 and 2014, the drunken Kulesh killed three saleswomen in two stores in the Lida District, Grodno Region, after which he stole money and goods."
2257,"From 1988 to 1997, Koestenbaum lived in New Haven, Connecticut.",Koestenbaum,From 1988 to 1997,Connecticut,settlement,"From 1988 to 1997, Koestenbaum resided in New Haven, Connecticut."
2258,In April 1747 he transferred to HMS Centaur remaining in the West Indies.,he,April 1747,West Indies,military service,In April 1747 he transferred to HMS Centaur remaining in the West Indies.
2259,"After graduating from University College London, Lieber became a doctoral student at the Kaiser-Wilhelm Institute in 1936.",Lieber,1936,University College London,education,"After graduating from University College London, Lieber became a doctoral student at the Kaiser-Wilhelm Institute in 1936."
2260,"He was the eldest of five children and spent the first three years of his life in Quetta, India (now in Pakistan).",He,the first,Quetta,settlement,"The eldest of five children, he spent the first three years of his life in Quetta, India (now in Pakistan)."
2261,"Working in collaboration with Macfarlane Burnet and Dora Lush at the Walter and Eliza Hall Institute, he mastered the technique of growing viruses in the membrane of a fertilised egg, and he published eighteen papers between 1936 and 1941.Keogh",Dora Lush,between 1936 and 1941.Keogh,Walter and Eliza Hall Institute,position held,"Collaborating with Macfarlane Burnet and Dora Lush at the Walter and Eliza Hall Institute, he mastered the technique of growing viruses in the membrane of a fertilised egg, and published eighteen papers between 1936 and 1941."
2262,"In 1888, at the artists' colony in Dachau, he met the painter, Emilie Pelikan, whom he married in 1891.",he,1891,Dachau,marry,"In 1888, at the artists' colony in Dachau, he met the painter, Emilie Pelikan, whom he married in 1891."
2263,"From age 7 to 14, he was raised on Montserrat, a volcanic island in the Caribbean.",he,age 7 to 14,Montserrat,settlement,"From age 7 to 14, he was raised on Montserrat, a volcanic island in the Caribbean."
2264,"Michelle Marie Pfeiffer was born on April 29, 1958, in Santa Ana, California, the second of four children of Donna Jean (née Taverna; 1932–2018), a housewife, and Richard Pfeiffer (1933–1998), an air-conditioning contractor.",Michelle Marie Pfeiffer,"April 29, 1958",California,birth,"Michelle Marie Pfeiffer was born on April 29, 1958, in Santa Ana, California, the second of four children of Donna Jean (née Taverna; 1932–2018), a housewife, and Richard Pfeiffer (1933–1998), an air-conditioning contractor."
2265,"In 1984, after graduating from high school, he moved to Los Angeles, where he worked with Dick Berk, Pete Christlieb, Dave Pike, and Jack Sheldon, then a couple years later moved to New York City.",Dave Pike,a couple years later,Los Angeles,leave from,"In 1984, after graduating from high school, he moved to Los Angeles, where he worked with Dick Berk, Pete Christlieb, Dave Pike, and Jack Sheldon, then a couple years later moved to New York City."
